pdf_filename,extracted_title,match_status,match_score,match_strategy,gt_title,gt_label,gt_year,gt_author,page_count,estimated_tokens,warnings
Bryant - 2021 - Integrating dairy manure for enhanced resource recovery at a WRRF .pdf,Integrating dairy manure for enhanced resource recovery at a WRRF: Environmental life cycle and pilot‐scale analyses,MATCHED,100.0,token_set_ratio,Integrating dairy manure for enhanced resource recovery at a WRRF: Environmental life cycle and pilot-scale analyses,Y,2021.0,Bryant,17,20276,
1-s2.0-S2211926416300820-main.pdf,Microalgae biomass production using wastewater: Treatment and costs,MATCHED,100.0,token_set_ratio,Microalgae biomass production using wastewater: Treatment and costs: Scale-up considerations,N,2016.0,Gouveia,10,13954,
A circular economy strategy for valorizing industrial saline wastewaters- Techno-economics and environmental impacts.pdf,A circular economy strategy for valorizing industrial saline wastewaters: Techno-economics and environmental impacts,MATCHED,100.0,token_set_ratio,A circular economy strategy for valorizing industrial saline wastewaters: Techno-economics and environmental impacts,N,2023.0,Roibás-Rozas,16,20830,
Chen 2020.pdf,Hybrid life cycle assessment of agro-industrial wastewater valorisation,MATCHED,100.0,token_set_ratio,Hybrid life cycle assessment of agro-industrial wastewater valorisation,Y,2020.0,Chen,12,15983,
Brye- 2022 - Assessment of Struvite as an Alternative Sources of Fertilizer-Phosphorus for Flood-Irrigated Rice.pdf,Assessment of Struvite as an Alternative Sources of Fertilizer-Phosphorus for Flood-Irrigated Rice,MATCHED,100.0,token_set_ratio,Assessment of Struvite as an Alternative Sources of Fertilizer-Phosphorus for Flood-Irrigated Rice,Y,2022.0,Brye,21,20716,
Enhanced biomethane production with a low carbon footprint via anaerobic co-digestion of swine wastewater with rice husk.pdf,Enhanced biomethane production with a low carbon footprint via anaerobic co-digestion of swine wastewater with rice husk,MATCHED,100.0,token_set_ratio,Enhanced biomethane production with a low carbon footprint via anaerobic co-digestion of swine wastewater with rice husk,N,2023.0,Lin,10,14757,
Developing the nitrogen handprint approach to quantify the positive impacts of industrial symbiosis on nitrogen cycles.pdf,Developing the nitrogen handprint approach to quantify the positive impacts of industrial symbiosis on nitrogen cycles,MATCHED,100.0,token_set_ratio,Developing the nitrogen handprint approach to quantify the positive impacts of industrial symbiosis on nitrogen cycles,N,2022.0,Lakanen,10,16899,
Farago 2021.pdf,From wastewater treatment to water resource recovery: Environmental and economic impacts of full-scale implementation,MATCHED,100.0,token_set_ratio,From wastewater treatment to water resource recovery: Environmental and economic impacts of full-scale implementation,Y,2021.0,Farago,14,17824,
Fernández-Dacosta 2015.pdf,Microbial community-based polyhydroxyalkanoates (PHAs) production from wastewater: Techno-economic analysis and ex-ante ,MATCHED,100.0,token_set_ratio,Microbial community-based polyhydroxyalkanoates (PHAs) production from wastewater: Techno-economic analysis and ex-ante environmental assessment,Y,2015.0,Fernández-Dacosta,10,12843,
"Graphene and biochar-based cathode catalysts for microbial fuel cell- Performance evaluation, economic comparison, environmental and future perspectives.pdf","Graphene and biochar-based cathode catalysts for microbial fuel cell: Performance evaluation, economic comparison, envir",MATCHED,100.0,token_set_ratio,"Graphene and biochar-based cathode catalysts for microbial fuel cell: Performance evaluation, economic comparison, environmental and future perspectives",N,2023.0,Dhanda,11,21562,
Guan - 2021.pdf,"Phosphorus recovery and iron, copper precipitation from swine wastewater via struvite crystallization using various magn",MATCHED,100.0,token_set_ratio,"Phosphorus recovery and iron, copper precipitation from swine wastewater via struvite crystallization using various magnesium compounds",Y,2021.0,Guan,11,13128,
Hilton - 2021 - Life Cycle Assessment of Urine Diversion and Conversion to Fertilizer Products at the City Scale.pdf,Life Cycle Assessment of Urine Diversion and Conversion to Fertilizer Products at the City Scale,MATCHED,100.0,token_set_ratio,Life Cycle Assessment of Urine Diversion and Conversion to Fertilizer Products at the City Scale,Y,2021.0,Hilton,11,14547,
Högstrand - 2023 - Incorporation of main line impact into life cycle .pdf,Incorporation of main line impact into life cycle assessment of nutrient recovery from reject water using novel membrane,MATCHED,100.0,token_set_ratio,Incorporation of main line impact into life cycle assessment of nutrient recovery from reject water using novel membrane contactor technology,Y,2023.0,Högstrand,13,20237,
Hu 2022.pdf,Simultaneous recovery of nutrients and improving the biodegradability of waste algae hydrothermal liquid,MATCHED,100.0,token_set_ratio,Simultaneous recovery of nutrients and improving the biodegradability of waste algae hydrothermal liquid,Y,2022.0,Hu,9,12825,
Igos - 2017 - Assessment of environmental impacts and operationa.pdf,Assessment of environmental impacts and operational costs of the implementation of an innovative source-separated urine ,MATCHED,100.0,token_set_ratio,Assessment of environmental impacts and operational costs of the implementation of an innovative source-separated urine treatment,Y,2017.0,Igos,10,15181,
Is SCENA a good approach for side-stream integrated treatment from an environmental and economic point of view?.pdf,Is SCENA a good approach for side-stream integrated treatment from an environmental and economic point of view?,MATCHED,100.0,token_set_ratio,Is SCENA a good approach for side-stream integrated treatment from an environmental and economic point of view?,N,2017.0,Longo,12,16091,
Ishii - 2015 - Life cycle comparison of centralized wastewater treatment and urine source separation with struvite precipitation□ Focus on urine nutrient management.pdf,Life cycle comparison of centralized wastewater treatment and urine source separation with struvite precipitation: Focus,MATCHED,100.0,token_set_ratio,Life cycle comparison of centralized wastewater treatment and urine source separation with struvite precipitation: Focus on urine nutrient management,Y,2015.0,Ishii,16,19424,
Kar 2023 Life cycle assessment and techno-economic analysis.pdf,Life cycle assessment and techno-economic analysis of nitrogen recovery by ammonia air-stripping from wastewater treatme,MATCHED,100.0,token_set_ratio,Life cycle assessment and techno-economic analysis of nitrogen recovery by ammonia air-stripping from wastewater treatment,Y,2023.0,Kar,11,14502,
Lam - 2022 - Life Cycle Environmental Impacts of Wastewater-Derived Phosphorus Products□ An Agricultural End-User Perspective.pdf,Life Cycle Environmental Impacts of Wastewater-Derived Phosphorus Products: An Agricultural End-User Perspective,MATCHED,100.0,token_set_ratio,Life Cycle Environmental Impacts of Wastewater-Derived Phosphorus Products: An Agricultural End-User Perspective,Y,2022.0,Lam,10,12724,
Life cycle assessment of management:valorisation practices for metal-sludge from treatment of acid mine drainage.pdf,Life cycle assessment of management/valorisation practices for metal-sludge from treatment of acid mine drainage,MATCHED,100.0,token_set_ratio,Life cycle assessment of management/valorisation practices for metal-sludge from treatment of acid mine drainage,N,2023.0,Moreno-González,9,14009,
Linderholm - 2012 - Life cycle assessment of phosphorus alternatives for Swedish agriculture.pdf,Life cycle assessment of phosphorus alternatives for Swedish agriculture,MATCHED,100.0,token_set_ratio,Life cycle assessment of phosphorus alternatives for Swedish agriculture,Y,2012.0,Linderholm,13,20687,
Mavhungu- 2021 - Environmental sustainability of municipal wastewater treatment through struvite precipitation□ Influence of operational parameters.pdf,Environmental sustainability of municipal wastewater treatment through struvite precipitation: Influence of operational ,MATCHED,100.0,token_set_ratio,Environmental sustainability of municipal wastewater treatment through struvite precipitation: Influence of operational parameters,Y,2021.0,Mavhungu,12,16624,
Mayor 2023.pdf,Life-cycle assessment and techno-economic evaluation of the value chain in nutrient recovery from wastewater treatment p,MATCHED,100.0,token_set_ratio,Life-cycle assessment and techno-economic evaluation of the value chain in nutrient recovery from wastewater treatment plants for agricultural application,Y,2023.0,Mayor,10,11937,
Morgan-Sagastume 2016.pdf,Techno-environmental assessment of integrating polyhydroxyalkanoate (PHA) production with services of municipal wastewat,MATCHED,100.0,token_set_ratio,Techno-environmental assessment of integrating polyhydroxyalkanoate (PHA) production with services of municipal wastewater treatment,Y,2016.0,Morgan-Sagastume,14,18722,
Morrissey 2022.pdf,Prospective Life Cycle Assessment and Cost Analysis of Novel Electrochemical Struvite Recovery in a U.S. Wastewater Trea,MATCHED,100.0,token_set_ratio,Prospective Life Cycle Assessment and Cost Analysis of Novel Electrochemical Struvite Recovery in a U.S. Wastewater Treatment Plant,Y,2022.0,Morrissey,23,20034,
Pradel - 2019 - Environmental impacts of phosphorus recovery from a “product” Life Cycle Assessment perspective□ Allocating burdens of wastewater treatment in the production of sludge-based phosphate fertilizers.pdf,Environmental impacts of phosphorus recovery from a “product” Life Cycle Assessment perspective: Allocating burdens of w,MATCHED,100.0,token_set_ratio,Environmental impacts of phosphorus recovery from a “product” Life Cycle Assessment perspective: Allocating burdens of wastewater treatment in the production of sludge-based phosphate fertilizers,Y,2019.0,Pradel,15,19730,
Rashid 2020 Upgrading a large and centralised municipal wastewater treatment plant.pdf,Upgrading a large and centralised municipal wastewater treatment plant with sequencing batch reactor technology for inte,MATCHED,100.0,token_set_ratio,Upgrading a large and centralised municipal wastewater treatment plant with sequencing batch reactor technology for integrated nutrient removal and phosphorus recovery: Environmental and economic life cycle performance,Y,2020.0,Rashid,13,19801,
Ravi - 2022 - Life cycle assessment of struvite recovery and wastewater sludge end-use□ A Flemish illustration.pdf,Life cycle assessment of struvite recovery and wastewater sludge end-use: A Flemish illustration,MATCHED,100.0,token_set_ratio,Life cycle assessment of struvite recovery and wastewater sludge end-use: A Flemish illustration,Y,2022.0,Ravi,11,16161,
Rodriguez-Garcia 2014.pdf,Life cycle assessment of nutrient removal technologies for the treatment of anaerobic digestion supernatant and its inte,MATCHED,100.0,token_set_ratio,Life cycle assessment of nutrient removal technologies for the treatment of anaerobic digestion supernatant and its integration in a wastewater treatment plant,Y,2014.0,Rodriguez-Garcia,9,12080,
Roibás-Rozas 2020.pdf,Environmental assessment of complex wastewater valorisation by polyhydroxyalkanoates production,MATCHED,100.0,token_set_ratio,Environmental assessment of complex wastewater valorisation by polyhydroxyalkanoates production,Y,2020.0,Roibás-Rozas,14,20239,
Rueda 2023.pdf,Life cycle assessment and economic analysis of bioplastics production from cyanobacteria,MATCHED,100.0,token_set_ratio,Life cycle assessment and economic analysis of bioplastics production from cyanobacteria,Y,2023.0,Rueda,11,14499,
Rufí-Salís 2020 Can wastewater feed cities.pdf,Can wastewater feed cities? Determining the feasibility and environmental burdens of struvite recovery and reuse for urb,MATCHED,100.0,token_set_ratio,Can wastewater feed cities? Determining the feasibility and environmental burdens of struvite recovery and reuse for urban regions,Y,2020.0,Rufí-Salís,9,15314,
Rufí-Salís 2022 Increasing resource circularity in wastewater treatment.pdf,Increasing resource circularity in wastewater treatment: Environmental implications of technological upgrades,MATCHED,100.0,token_set_ratio,Increasing resource circularity in wastewater treatment: Environmental implications of technological upgrades,Y,2022.0,Rufí-Salís,12,19840,
Saud 2023.pdf,Environmental Performance of Nitrogen Recovery from Reject Water of Sewage Sludge Treatment Based on Life Cycle Assessme,MATCHED,100.0,token_set_ratio,Environmental Performance of Nitrogen Recovery from Reject Water of Sewage Sludge Treatment Based on Life Cycle Assessment,Y,2023.0,Saud,16,14173,
Sena - 2021 - Environmental impacts of phosphorus recovery through struvite precipitation in wastewater treatment.pdf,Environmental impacts of phosphorus recovery through struvite precipitation in wastewater treatment,MATCHED,100.0,token_set_ratio,Environmental impacts of phosphorus recovery through struvite precipitation in wastewater treatment,Y,2021.0,Sena,15,14261,
Spatial-temporal economic analysis of modern sustainable sanitation in rural China- Resource-oriented system.pdf,Spatial-temporal economic analysis of modern sustainable sanitation in rural China: Resource-oriented system,MATCHED,100.0,token_set_ratio,Spatial-temporal economic analysis of modern sustainable sanitation in rural China: Resource-oriented system,N,2019.0,Xu,8,11929,
Temizel-Sekeryan- 2021 -Life Cycle Assessment of Struvite Precipitation from Anaerobically Digested Dairy Manure□ A Wisconsin Perspective.pdf,Life Cycle Assessment of Struvite Precipitation from Anaerobically Digested Dairy Manure: A Wisconsin Perspective,MATCHED,100.0,token_set_ratio,Life Cycle Assessment of Struvite Precipitation from Anaerobically Digested Dairy Manure: A Wisconsin Perspective,Y,2021.0,Temizel-Sekeryan,13,17597,
Using chlorella vulgaris for nutrient removal from hydroponic wastewater- experimental investigation and economic assessment.pdf,Using chlorella vulgaris for nutrient removal from hydroponic wastewater: experimental investigation assessment,MATCHED,100.0,token_set_ratio,Using chlorella vulgaris for nutrient removal from hydroponic wastewater: experimental investigation and economic assessment,N,2022.0,Yousif,19,19208,
Vinardell 2023 Environmental and economic evaluation of implement.pdf,Environmental and economic evaluation of implementing membrane technologies and struvite crystallisation to recover nutr,MATCHED,100.0,token_set_ratio,Environmental and economic evaluation of implementing membrane technologies and struvite crystallisation to recover nutrients from anaerobic digestion supernatant,Y,2023.0,Vinardell,11,14086,
Vineyard 2021 Life cycle assessment of electrodialysis for sides.pdf,Life cycle assessment of electrodialysis for sidestream nitrogen recovery in municipal wastewater treatment,MATCHED,100.0,token_set_ratio,Life cycle assessment of electrodialysis for sidestream nitrogen recovery in municipal wastewater treatment,Y,2021.0,Vineyard,8,13146,
Vogli 2020.pdf,Life Cycle Assessment and Energy Balance of a Novel Polyhydroxyalkanoates Production Process with Mixed Microbial Cultur,MATCHED,100.0,token_set_ratio,Life Cycle Assessment and Energy Balance of a Novel Polyhydroxyalkanoates Production Process with Mixed Microbial Cultures Fed on Pyrolytic Products of Wastewater Treatment Sludge,Y,2020.0,Vogli,27,24097,
co-processing-agricultural-residues-and-wet-organic-waste-can-produce-lower-cost-carbon-negative-fuels-and-bioplastics.pdf,Co-Processing Agricultural Residues and Wet Organic Waste Can Produce Lower-Cost Carbon-Negative Fuels and Bioplastics,MATCHED,100.0,token_set_ratio,Co-Processing Agricultural Residues and Wet Organic Waste Can Produce Lower-Cost Carbon-Negative Fuels and Bioplastics,N,2023.0,Wang,12,17130,
membranes-13-00087.pdf,"Life Cycle, PESTLE and Multi-Criteria Decision Analysis of Membrane Contactor-Based Nitrogen Recovery Process",MATCHED,100.0,token_set_ratio,"Life Cycle, PESTLE and Multi-Criteria Decision Analysis of Membrane Contactor-Based Nitrogen Recovery Process",N,2023.0,Nagy,19,11232,
s10098-021-02157-1.pdf,Exploring the environmental and economic potential for biogas production from swine manure wastewater by life cycle asse,MATCHED,100.0,token_set_ratio,Exploring the environmental and economic potential for biogas production from swine manure wastewater by life cycle assessment,N,2023.0,Shih,14,12659,
s11356-022-23054-0.pdf,Plant-wide modeling of a metropolitan wastewater treatment plant to reduce energy consumption and carbon footprint,MATCHED,100.0,token_set_ratio,Plant-wide modeling of a metropolitan wastewater treatment plant to reduce energy consumption and carbon footprint,N,2023.0,Okan,13,14035,
van Zelm 2020 Life cycle assessment of side stream removal and recovery of nitrogen from wastewater treatment plants.pdf,Life cycle assessment of side stream removal and recovery of nitrogen from wastewater treatment plants,MATCHED,100.0,token_set_ratio,Life cycle assessment of side stream removal and recovery of nitrogen from wastewater treatment plants,Y,2020.0,van Zelm,10,9762,
