model,paper_title,ground_truth,complete_model_output,extracted_label
Qwen/Qwen2.5-7B-Instruct,Upgrading a large and centralised municipal wastewater treatment plant with sequencing batch reactor technology for integrated nutrient removal and phosphorus recovery: Environmental and economic life cycle performance,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Life cycle assessment of struvite recovery and wastewater sludge end-use: A Flemish illustration,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Life cycle assessment of nutrient removal technologies for the treatment of anaerobic digestion supernatant and its integration in a wastewater treatment plant,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Environmental assessment of complex wastewater valorisation by polyhydroxyalkanoates production,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Life cycle assessment and economic analysis of bioplastics production from cyanobacteria,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Can wastewater feed cities? Determining the feasibility and environmental burdens of struvite recovery and reuse for urban regions,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Increasing resource circularity in wastewater treatment: Environmental implications of technological upgrades,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Environmental Performance of Nitrogen Recovery from Reject Water of Sewage Sludge Treatment Based on Life Cycle Assessment,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Environmental impacts of phosphorus recovery through struvite precipitation in wastewater treatment,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Spatial-temporal economic analysis of modern sustainable sanitation in rural China: Resource-oriented system,N,Y,Y
Qwen/Qwen2.5-7B-Instruct,Life Cycle Assessment of Struvite Precipitation from Anaerobically Digested Dairy Manure: A Wisconsin Perspective,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Using chlorella vulgaris for nutrient removal from hydroponic wastewater: experimental investigation and economic assessment,N,Y,Y
Qwen/Qwen2.5-7B-Instruct,Environmental and economic evaluation of implementing membrane technologies and struvite crystallisation to recover nutrients from anaerobic digestion supernatant,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Life cycle assessment of electrodialysis for sidestream nitrogen recovery in municipal wastewater treatment,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Life Cycle Assessment and Energy Balance of a Novel Polyhydroxyalkanoates Production Process with Mixed Microbial Cultures Fed on Pyrolytic Products of Wastewater Treatment Sludge,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Co-Processing Agricultural Residues and Wet Organic Waste Can Produce Lower-Cost Carbon-Negative Fuels and Bioplastics,N,Y,Y
Qwen/Qwen2.5-7B-Instruct,"Life Cycle, PESTLE and Multi-Criteria Decision Analysis of Membrane Contactor-Based Nitrogen Recovery Process",N,Y,Y
Qwen/Qwen2.5-7B-Instruct,Exploring the environmental and economic potential for biogas production from swine manure wastewater by life cycle assessment,N,Y,Y
Qwen/Qwen2.5-7B-Instruct,Plant-wide modeling of a metropolitan wastewater treatment plant to reduce energy consumption and carbon footprint,N,N,N
Qwen/Qwen2.5-7B-Instruct,Life cycle assessment of side stream removal and recovery of nitrogen from wastewater treatment plants,Y,Y,Y
